#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Oct 07 14:41:19 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scrod_top_A3_map.ncd
#OUTPUT FILE:      scrod_top_A3_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
D26,LEDS<13>,IOB,IO_L17N_M5DQ7_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,WR1_ENA<5>,IOB,IO_L67N_M4DQ7_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,LEDS<6>,IOB,IO_L67P_M4DQ6_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
E3,WR2_ENA<4>,IOB,IO_L81N_M4A11_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,,IOBM,IO_L81P_M4RESET_4,UNUSED,,4,,,,,,,,,
E5,TDC8_TRG_16,IOB,IO_L8N_VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E6,TDC1_TRG<2>,IOB,IO_L8P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E7,,,GND,,,,,,,,,,,,
E8,TDC3_TRG<1>,IOB,IO_L15N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E9,,,MGTRREF_101,,,,,,,,,,,,
E10,TDC2_TRG<3>,IOB,IO_L23N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E11,,,MGTAVTTRCAL_101,,,,,,,,,,,,
E12,SHOUT<3>,IOB,IO_L31N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E13,TDC9_TRG<3>,IOB,IO_L34P_GCLK19_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E14,TDC10_TRG_16,IOB,IO_L40N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E15,,,GND,,,,,,,,,,,,
E16,TDC3_TRG<0>,IOB,IO_L49N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E17,,,VCCAUX,,,,,,,,2.5,,,,
E18,TDC1_TRG<0>,IOB,IO_L51N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E19,,,GND,,,,,,,,,,,,
E20,TDC5_TRG<1>,IOB,IO_L57N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E21,,,VCCO_0,,,0,,,,,2.50,,,,
E22,,,GND,,,,,,,,,,,,
E23,SR_CLOCK<8>,IOB,IO_L8P_M5A7_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
E24,WR1_ENA<9>,IOB,IO_L8N_M5A2_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
E25,LEDS<11>,IOB,IO_L16P_M5DQ4_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
E26,SSTIN_P<8>,IOB,IO_L16N_M5DQ5_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,SCLK<3>,IOB,IO_L66N_M4LDQSN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
F2,,,GND,,,,,,,,,,,,
F3,SR_CLOCK<6>,IOB,IO_L66P_M4LDQS_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
F4,,,VCCO_4,,,4,,,,,2.50,,,,
F5,SHOUT<2>,IOB,IO_L5N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F6,BUSB_DO<2>,IOB,IO_L3N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F7,TDC2_TRG<2>,IOB,IO_L3P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F8,,,VCCO_0,,,0,,,,,2.50,,,,
F9,TDC5_TRG<2>,IOB,IO_L15P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F10,SHOUT<4>,IOB,IO_L23P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F11,BUSB_DO<3>,IOB,IO_L30N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F12,TDC1_TRG<3>,IOB,IO_L31P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F13,,,VCCO_0,,,0,,,,,2.50,,,,
F14,TDC6_TRG<0>,IOB,IO_L40P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F15,TDC1_TRG_16,IOB,IO_L50N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F16,TDC2_TRG_16,IOB,IO_L49P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F17,TDC4_TRG<1>,IOB,IO_L56N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F18,TDC2_TRG<0>,IOB,IO_L51P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F19,USB_CTL1,IOB,IO_L64N_SCP4_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F20,SHOUT<1>,IOB,IO_L57P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F21,,,TMS,,,,,,,,,,,,
F22,LEDS<8>,IOB,IO_L6P_M5A10_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
F23,SAMPLESEL_ANY<9>,IOB,IO_L14P_M5RASN_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
F24,LEDS<12>,IOB,IO_L18P_M5LDQS_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
F25,,,GND,,,,,,,,,,,,
F26,LEDS<15>,IOB,IO_L18N_M5LDQSN_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,SR_CLOCK<5>,IOB,IO_L65N_M4DQ3_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
G2,PCLK<6>,IOB,IO_L65P_M4DQ2_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
G3,WR1_ENA<3>,IOB,IO_L77N_M4BA2_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,TDC_CS_DAC<4>,IOB,IO_L77P_M4WE_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
G5,,,VCCAUX,,,,,,,,2.5,,,,
G6,TDC4_TRG<2>,IOB,IO_L5P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G7,RJ45_ACK_N,IOBS,IO_L1N_VREF_0,,LVDS_25,0,,,,,,,NO,,
G8,TDC10_TRG<2>,IOB,IO_L2N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G9,TDC2_TRG<1>,IOB,IO_L13N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G10,BUSB_DO<1>,IOB,IO_L21N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G11,TDC7_TRG<3>,IOB,IO_L32N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G12,TDC8_TRG<3>,IOB,IO_L30P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G13,TDC7_TRG<2>,IOB,IO_L33N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G14,,,GND,,,,,,,,,,,,
G15,BUSA_DO<0>,IOB,IO_L50P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G16,TDC9_TRG<1>,IOB,IO_L56P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G17,mgtmod0<2>,IOB,IO_L58N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G18,,,VCCO_0,,,0,,,,,2.50,,,,
G19,USB_CTL0,IOB,IO_L64P_SCP5_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G20,RJ45_TRG_N,IOB,IO_L1N_A24_VREF_5,,LVDS_25,5,,,,,,,NO,,
G21,,,TDO,,,,,,,,,,,,
G22,,,VCCO_5,,,5,,,,,2.50,,,,
G23,SSTIN_N<7>,IOB,IO_L6N_M5A4_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
G24,PCLK<9>,IOB,IO_L14N_M5CASN_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
G25,LEDS<14>,IOB,IO_L20P_M5DQ0_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
G26,,IOBS,IO_L20N_M5DQ1_5,UNUSED,,5,,,,,,,,,
H1,SAMPLESEL_ANY<5>,IOB,IO_L64N_M4DQ1_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,,,VCCO_4,,,4,,,,,2.50,,,,
H3,LEDS<5>,IOB,IO_L64P_M4DQ0_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
H4,,,GND,,,,,,,,,,,,
H5,WL_CLK_N<5>,IOB,IO_L83N_VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,YES,NONE,
H6,WR1_ENA<4>,IOB,IO_L83P_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,RJ45_ACK_P,IOBM,IO_L1P_HSWAPEN_0,TRISTATE,LVDS_25,0,,,,,,UNLOCATED,YES,NONE,
H8,BUSA_DO<2>,IOB,IO_L2P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H9,TDC_MON_TIMING<1>,IOB,IO_L13P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H10,TDC10_TRG<1>,IOB,IO_L21P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H11,,,VCCO_0,,,0,,,,,2.50,,,,
H12,TDC3_TRG<3>,IOB,IO_L33P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H13,TDC8_TRG<0>,IOB,IO_L39N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H14,TDC4_TRG<0>,IOB,IO_L41N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H15,TDC9_TRG<0>,IOB,IO_L43N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H16,,,VCCO_0,,,0,,,,,2.50,,,,
H17,mgtlos<1>,IOB,IO_L58P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H18,mgtmod0<1>,IOB,IO_L62P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H19,TDC7_TRG_16,IOB,IO_L62N_VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
H20,RJ45_TRG_P,IOB,IO_L1P_A25_5,INPUT,LVDS_25,5,,,,NONE,,UNLOCATED,YES,NONE,
H21,WR2_ENA<9>,IOB,IO_L5P_M5A8_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
H22,SSTIN_P<9>,IOB,IO_L5N_M5A9_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
H23,,,GND,,,,,,,,,,,,
H24,SR_CLOCK<7>,IOB,IO_L19P_M5DQ2_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
H25,,,VCCO_5,,,5,,,,,2.50,,,,
H26,SIN<6>,IOB,IO_L19N_M5DQ3_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,BUSA_RD_COLSEL_S<5>,IOB,IO_L63N_M4DQ9_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
J2,BUSB_RD_COLSEL_S<5>,IOB,IO_L63P_M4DQ8_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
J3,WL_CLK_P<6>,IOB,IO_L69N_M4LDM_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,YES,NONE,
J4,PCLK<3>,IOB,IO_L69P_M4UDM_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
J5,WL_CLK_P<4>,IOB,IO_L73N_M4CLKN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,YES,NONE,
J6,,,VCCO_4,,,4,,,,,2.50,,,,
J7,WL_CLK_N<3>,IOB,IO_L78N_M4A4_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,YES,NONE,
J8,,,GND,,,,,,,,,,,,
J9,SIN<4>,IOB,IO_L78P_M4A10_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
J10,,,VCCAUX,,,,,,,,2.5,,,,
J11,TDC3_TRG<2>,IOB,IO_L32P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
J12,TDC5_TRG<3>,IOB,IO_L38N_VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
J13,TDC9_TRG<2>,IOB,IO_L39P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
J14,,,VCCO_0,,,0,,,,,2.50,,,,
J15,TDC3_TRG_16,IOB,IO_L43P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
J16,BUSB_DO<0>,IOB,IO_L48P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
J17,TDC10_TRG<0>,IOB,IO_L48N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
J18,,,VCCAUX,,,,,,,,2.5,,,,
J19,,,GND,,,,,,,,,,,,
J20,SCLK<8>,IOB,IO_L7P_M5WE_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
J21,,,VCCO_5,,,5,,,,,2.50,,,,
J22,SSTIN_N<9>,IOB,IO_L7N_M5BA2_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
J23,TDC_CS_DAC<9>,IOB,IO_L15P_M5UDM_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
J24,LEDS<9>,IOB,IO_L15N_M5LDM_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
J25,SAMPLESEL_ANY<6>,IOB,IO_L22P_M5DQ10_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
J26,SSTIN_P<7>,IOB,IO_L22N_M5DQ11_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,SSTIN_P<5>,IOB,IO_L62N_M4DQ11_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
K2,,,GND,,,,,,,,,,,,
K3,PCLK<5>,IOB,IO_L62P_M4DQ10_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
K4,,,VCCO_4,,,4,,,,,2.50,,,,
K5,TDC_CS_DAC<3>,IOB,IO_L73P_M4CLK_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,SSTIN_P<3>,IOB,IO_L82N_M4A14_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,SSTIN_P<4>,IOB,IO_L82P_M4A13_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
K8,WL_CLK_N<4>,IOB,IO_L80N_M4A12_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,YES,NONE,
K9,SSTIN_N<3>,IOB,IO_L80P_M4CKE_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
K10,LEDS<4>,IOB,IO_L76N_M4A2_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,TDC6_TRG_16,IOB,IO_L38P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
K13,,,VCCAUX,,,,,,,,2.5,,,,
K14,TDC5_TRG<0>,IOB,IO_L41P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,,,GND,,,,,,,,,,,,
K17,,,VCCINT,,,,,,,,1.2,,,,
K18,WL_CLK_N<9>,IOB,IO_L3P_M5RESET_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,YES,NONE,
K19,WR2_ENA<8>,IOB,IO_L3N_M5A11_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
K20,WR1_ENA<7>,IOB,IO_L9N_M5BA1_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
K21,SIN<9>,IOB,IO_L12P_M5A3_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
K22,SSTIN_N<6>,IOB,IO_L12N_M5ODT_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
K23,,,VCCO_5,,,5,,,,,2.50,,,,
K24,WR2_ENA<7>,IOB,IO_L21P_M5DQ8_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
K25,,,GND,,,,,,,,,,,,
K26,WL_CLK_N<7>,IOB,IO_L21N_M5DQ9_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,YES,NONE,
L1,WR2_ENA<5>,IOB,IO_L61N_M4UDQSN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,,IOBM,IO_L61P_M4UDQS_4,UNUSED,,4,,,,,,,,,
L3,WL_CLK_P<3>,IOB,IO_L71N_M4A6_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,YES,NONE,
L4,LEDS<3>,IOB,IO_L71P_M4A5_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,,,VCCAUX,,,,,,,,2.5,,,,
L6,WR1_ENA<6>,IOB,IO_L74N_M4A1_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
L7,SR_CLOCK<4>,IOB,IO_L74P_M4A0_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
L8,SSTIN_N<5>,IOB,IO_L70N_M4CASN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
L9,BUSB_SAMPLESEL_S<3>,IOB,IO_L70P_M4RASN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
L10,BUSA_SAMPLESEL_S<4>,IOB,IO_L76P_M4A7_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,,GND,,,,,,,,,,,,
L16,,,VCCINT,,,,,,,,1.2,,,,
L17,,,GND,,,,,,,,,,,,
L18,,,VCCAUX,,,,,,,,2.5,,,,
L19,TDC_CS_DAC<8>,IOB,IO_L9P_M5BA0_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
L20,SIN<8>,IOB,IO_L27P_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
L21,WL_CLK_N<8>,IOB,IO_L27N_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,YES,NONE,
L22,,,VCCAUX,,,,,,,,2.5,,,,
L23,BUSB_DO<12>,IOB,IO_L29P_A23_M1A13_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L24,BUSA_DO<12>,IOB,IO_L29N_A22_M1A14_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L25,LEDS<7>,IOB,IO_L24P_M5DQ12_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
L26,TDC_CS_DAC<6>,IOB,IO_L24N_M5DQ13_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,BUSB_SAMPLESEL_S<4>,IOB,IO_L60N_M4DQ13_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,,,VCCO_4,,,4,,,,,2.50,,,,
M3,SCLK<5>,IOB,IO_L60P_M4DQ12_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,PCLK<4>,IOB,IO_L58P_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
M5,,,GND,,,,,,,,,,,,
M6,SIN<3>,IOB,IO_L72N_M4ODT_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
M7,,,VCCO_4,,,4,,,,,2.50,,,,
M8,SR_CLOCK<3>,IOB,IO_L72P_M4A3_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
M9,,IOBS,IO_L57N_VREF_3,UNUSED,,3,,,,,,,,,
M10,TDC_CS_DAC<5>,IOB,IO_L57P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,VCCINT,,,,,,,,1.2,,,,
M15,,,VCCINT,,,,,,,,1.2,,,,
M16,,,VCCINT,,,,,,,,1.2,,,,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,SR_CLOCK<9>,IOB,IO_L13P_M5A5_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
M19,WR2_ENA<6>,IOB,IO_L13N_M5A6_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
M20,,,VCCO_5,,,5,,,,,2.50,,,,
M21,SAMPLESEL_ANY<7>,IOB,IO_L26P_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
M22,,,GND,,,,,,,,,,,,
M23,SAMPLESEL_ANY<8>,IOB,IO_L26N_VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
M24,PCLK<7>,IOB,IO_L23P_M5UDQS_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
M25,,,VCCO_5,,,5,,,,,2.50,,,,
M26,SCLK<7>,IOB,IO_L23N_M5UDQSN_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,SCLK<4>,IOB,IO_L59N_M4DQ15_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
N2,SIN<5>,IOB,IO_L59P_M4DQ14_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
N3,SSTIN_N<4>,IOB,IO_L58N_VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
N4,,IOBS,IO_L54N_M3A11_3,UNUSED,,3,,,,,,,,,
N5,,IOBM,IO_L54P_M3RESET_3,UNUSED,,3,,,,,,,,,
N6,,IOBM,IO_L49P_M3A7_3,UNUSED,,3,,,,,,,,,
N7,,IOBS,IO_L51N_M3A4_3,UNUSED,,3,,,,,,,,,
N8,,IOBM,IO_L51P_M3A10_3,UNUSED,,3,,,,,,,,,
N9,,IOBS,IO_L55N_M3A14_3,UNUSED,,3,,,,,,,,,
N10,,,VCCAUX,,,,,,,,2.5,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,GND,,,,,,,,,,,,
N15,,,VCCINT,,,,,,,,1.2,,,,
N16,,,VCCINT,,,,,,,,1.2,,,,
N17,BUSA_DO<4>,IOB,IO_L28P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N18,PCLK<8>,IOB,IO_L28N_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N19,BUSB_DO<13>,IOB,IO_L30P_A21_M1RESET_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N20,BUSB_DO<14>,IOB,IO_L30N_A20_M1A11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N21,BUSA_DO<14>,IOB,IO_L31P_A19_M1CKE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N22,BUSB_DO<15>,IOB,IO_L31N_A18_M1A12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N23,TDC_MON_TIMING<4>,IOB,IO_L33P_A15_M1A10_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N24,TDC_MON_TIMING<7>,IOB,IO_L33N_A14_M1A4_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N25,TDC_CS_DAC<7>,IOB,IO_L25P_M5DQ14_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
N26,SIN<7>,IOB,IO_L25N_M5DQ15_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,,IOBS,IO_L48N_M3BA1_3,UNUSED,,3,,,,,,,,,
P2,,,GND,,,,,,,,,,,,
P3,,IOBM,IO_L48P_M3BA0_3,UNUSED,,3,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
